Description,TotalPrice
"PAPER CRAFT , LITTLE BIRDIE",168469.6
REGENCY CAKESTAND 3 TIER,142592.94999999998
WHITE HANGING HEART T-LIGHT HOLDER,100448.15000000001
JUMBO BAG RED RETROSPOT,85220.78
MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001
POSTAGE,77803.96
PARTY BUNTING,68844.33
ASSORTED COLOUR BIRD ORNAMENT,56580.34
Manual,53779.93
RABBIT NIGHT LIGHT,51346.2
CHILLI LIGHTS,46286.51
PAPER CHAIN KIT 50'S CHRISTMAS ,42660.83
PICNIC BASKET WICKER 60 PIECES,39619.5
BLACK RECORD COVER FRAME,39064.55
JUMBO BAG PINK POLKADOT,37289.590000000004
DOORMAT KEEP CALM AND COME IN,35913.85
SPOTTY BUNTING,35539.25
WOOD BLACK BOARD ANT WHITE FINISH,34478.01
SET OF 3 CAKE TINS PANTRY DESIGN ,33347.8
JAM MAKING SET WITH JARS,32662.97
JUMBO BAG STRAWBERRY,30644.2
VICTORIAN GLASS HANGING T-LIGHT,28776.51
HEART OF WICKER LARGE,28520.95
HEART OF WICKER SMALL,28228.64
LUNCH BAG RED RETROSPOT,28048.45
SET OF 3 REGENCY CAKE TINS,26625.68
JUMBO BAG APPLES,26451.260000000002
ALARM CLOCK BAKELIKE RED ,25925.2
PAPER CHAIN KIT VINTAGE CHRISTMAS,25669.27
DOORMAT RED RETROSPOT,25397.85
GIN + TONIC DIET METAL SIGN,24988.98
ROSES REGENCY TEACUP AND SAUCER ,24865.600000000002
SPACEBOY LUNCH BOX ,24694.59
HOT WATER BOTTLE KEEP CALM,24426.300000000003
NATURAL SLATE HEART CHALKBOARD ,24245.52
JUMBO BAG ALPHABET,24175.0
PLEASE ONE PERSON METAL SIGN,23930.920000000002
RED  HARMONICA IN BOX ,23793.93
DOORMAT UNION FLAG,23697.99
JUMBO  BAG BAROQUE BLACK WHITE,23675.04
CHOCOLATE HOT WATER BOTTLE,23624.24
POPCORN HOLDER,23427.71
REGENCY TEAPOT ROSES ,23073.32
BAKING SET 9 PIECE RETROSPOT ,23007.55
DOORMAT NEW ENGLAND,22968.25
CREAM HEART CARD HOLDER,22715.57
VINTAGE UNION JACK MEMOBOARD,22709.13
RED HANGING HEART T-LIGHT HOLDER,22624.690000000002
ROUND SNACK BOXES SET OF4 WOODLAND ,22175.52
SET OF TEA COFFEE SUGAR TINS PANTRY,22133.83
JUMBO STORAGE BAG SUKI,21790.95
DOORMAT FAIRY CAKE,21187.69
JAM MAKING SET PRINTED,21170.75
JUMBO BAG VINTAGE LEAF,20963.93
VINTAGE UNION JACK BUNTING,20962.16
ALARM CLOCK BAKELIKE GREEN,20880.4
RECIPE BOX PANTRY YELLOW DESIGN,20859.27
EDWARDIAN PARASOL NATURAL,20696.71
JUMBO BAG VINTAGE DOILY ,20674.68
CREAM SWEETHEART MINI CHEST,20562.92
SET OF 6 SPICE TINS PANTRY DESIGN,20530.0
RETROSPOT TEA SET CERAMIC 11 PC ,20470.780000000002
COOK WITH WINE METAL SIGN ,20315.33
JUMBO SHOPPER VINTAGE RED PAISLEY,20174.23
DOLLY GIRL LUNCH BOX,20129.44
SCOTTIE DOG HOT WATER BOTTLE,20104.350000000002
WOODEN PICTURE FRAME WHITE FINISH,20001.65
DOORMAT HEARTS,19948.81
RED TOADSTOOL LED NIGHT LIGHT,19844.91
LUNCH BOX I LOVE LONDON,19353.219999999998
