Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
326,1,77183.6,1,1,4,114,重要挽留客户
2,7,4310.0,4,4,4,444,重要价值客户
75,4,1797.24,2,3,4,234,重要发展客户
19,1,1757.55,3,1,4,314,重要保持客户
310,1,334.4,1,1,2,112,流失客户
36,8,2506.04,3,4,4,344,重要价值客户
204,1,89.0,1,1,1,111,流失客户
232,1,1079.4,1,1,3,113,重要挽留客户
214,1,459.4,1,1,2,112,流失客户
23,3,2811.43,3,3,4,334,重要价值客户
33,1,6207.67,3,1,4,314,重要保持客户
2,2,1168.06,4,2,3,423,重要保持客户
58,4,6372.58,2,3,4,234,重要发展客户
52,3,2662.06,2,3,4,234,重要发展客户
287,1,189.9,1,1,1,111,流失客户
3,10,5226.23,4,4,4,444,重要价值客户
110,2,552.0,2,2,2,222,流失客户
8,4,1313.1,4,3,3,433,重要价值客户
291,2,641.38,1,2,2,122,流失客户
4,1,168.9,4,1,1,411,一般发展客户
51,4,3545.69,3,3,4,334,重要价值客户
45,2,1887.96,3,2,4,324,重要保持客户
72,3,1298.04,2,3,3,233,重要发展客户
311,1,364.6,1,1,2,112,流失客户
25,1,742.9300000000001,3,1,3,313,重要保持客户
11,2,457.5,4,2,2,422,一般发展客户
315,2,1628.12,1,2,3,123,重要挽留客户
130,1,4008.62,2,1,4,214,重要挽留客户
82,2,852.24,2,2,3,223,重要挽留客户
22,4,2724.81,3,3,4,334,重要价值客户
5,5,1845.31,4,3,4,434,重要价值客户
185,5,1850.56,1,3,4,134,重要发展客户
29,2,585.27,3,2,2,322,一般发展客户
338,2,401.9,1,2,2,122,流失客户
16,6,2780.66,4,4,4,444,重要价值客户
80,1,549.84,2,1,2,212,流失客户
22,1,460.89,3,1,2,312,一般发展客户
72,4,1582.6000000000001,2,3,3,233,重要发展客户
64,2,1272.48,2,2,3,223,重要挽留客户
19,12,3018.63,3,4,4,344,重要价值客户
36,2,2409.9,3,2,4,324,重要保持客户
46,1,1635.6599999999999,3,1,3,313,重要保持客户
119,4,1108.65,2,3,3,233,重要发展客户
303,1,84.3,1,1,1,111,流失客户
323,1,225.6,1,1,1,111,流失客户
50,1,427.7,3,1,2,312,一般发展客户
149,1,1710.39,1,1,4,114,重要挽留客户
22,2,3415.3,3,2,4,324,重要保持客户
50,5,1708.1200000000001,3,3,4,334,重要价值客户
33,5,2888.55,3,3,4,334,重要价值客户
79,3,11072.67,2,3,4,234,重要发展客户
309,2,693.3299999999999,1,2,3,123,重要挽留客户
75,3,1226.88,2,3,3,233,重要发展客户
67,3,758.1,2,3,3,233,重要发展客户
217,3,562.41,1,3,2,132,一般保持客户
24,21,124914.53,3,4,4,344,重要价值客户
3,9,3649.1,4,4,4,444,重要价值客户
113,1,668.58,2,1,2,212,流失客户
64,1,600.39,2,1,2,212,流失客户
16,4,807.04,4,3,3,433,重要价值客户
96,3,803.5600000000001,2,3,3,233,重要发展客户
